1,21&22
1,19&20
1,17&18
1,15&16
1,13&14
1,11&12
1,9&10
1,7&8
1,5&6
1,3&4
1,1&2
2,23&24
2,21&22
2,19&20
2,17&18
2,15&16
2,13&14
2,11&12
2,9&10
2,7&8
2,5&6
2,3&4
2,1&2
3,22&23
3,20&21
3,19
3,18
3,17
3,16
3,15
3,14
3,13
3,12
3,11
3,10
3,9
3,8
3,7
3,6
3,5
3,3&4
3,1&2
4,22&23
4,20&21
4,19
4,18
4,17
4,16
4,15
4,14
4,13
4,12
4,11
4,10
4,9
4,8
4,7
4,6
4,5
4,3&4
4,1&2
5,22&23
5,20&21
5,19
5,18
5,17
5,16
5,15
5,14
5,13
5,12
5,11
5,10
5,9
5,8
5,7
5,6
5,5
5,3&4
5,1&2
6,22&23
6,20&21
6,19
6,18
6,17
6,16
6,15
6,14
6,13
6,12
6,11
6,10
6,9
6,8
6,7
6,6
6,5
6,3&4
6,1&2
7,18&19
7,16&17
7,15
7,14
7,13
7,12
7,11
7,10
7,9
7,8
7,7
7,6
7,5
7,3&4
7,1&2
8,18&19
8,16&17
8,15
8,14
8,13
8,12
8,11
8,10
8,9
8,8
8,7
8,6
8,5
8,3&4
8,1&2
9,18&19
9,16&17
9,15
9,14
9,13
9,12
9,11
9,10
9,9
9,8
9,7
9,6
9,5
9,3&4
9,1&2
10,18&19
10,16&17
10,15
10,14
10,13
10,12
10,11
10,10
10,9
10,8
10,7
10,6
10,5
10,3&4
10,1&2
11,18&19
11,16&17
11,15
11,14
11,13
11,12
11,11
11,10
11,9
11,8
11,7
11,6
11,5
11,3&4
11,1&2
12,21&22
12,19&20
12,18
12,17
12,16
12,15
12,14
12,13
12,12
12,11
12,10
12,9
12,8
12,6&7
12,4&5
12,3
12,2
12,1
13,21&22
13,19&20
13,18
13,17
13,16
13,15
13,14
13,13
13,12
13,11
13,10
13,9
13,8
13,6&7
13,4&5
13,3
13,2
13,1
14,21&22
14,19&20
14,18
14,17
14,16
14,15
14,14
14,13
14,12
14,11
14,10
14,9
14,8
14,6&7
14,4&5
14,3
14,2
14,1
15,21&22
15,19&20
15,18
15,17
15,16
15,15
15,14
15,13
15,12
15,11
15,10
15,9
15,8
15,6&7
15,4&5
15,3
15,2
15,1
16,1&2
16,3&4
16,5&6
16,7&8
16,9&10
16,11&12
16,13
16,14
16,15
16,16&17
16,18&19
16,20&21
16,22&23
16,24&25
